Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2007,4 Year  June,Asian,11967,9494,79.3,9006,75.3,94.9,5384,45,56.7,3622,30.3,38.2,488,4.1,5.1,1642,13.7,716,6
2007,4 Year August,Asian,11967,9925,82.9,9324,77.9,93.9,5439,45.4,54.8,3885,32.5,39.1,601,5,6.1,1218,10.2,711,5.9
2007,5 Year  June,Asian,11880,10220,86,9494,79.9,92.9,5434,45.7,53.2,4060,34.2,39.7,726,6.1,7.1,400,3.4,1081,9.1
2007,5 Year August,Asian,11880,10297,86.7,9536,80.3,92.6,5435,45.7,52.8,4101,34.5,39.8,761,6.4,7.4,342,2.9,1064,9
2007,6 Year,Asian,11925,10443,87.6,9653,80.9,92.4,5464,45.8,52.3,4189,35.1,40.1,790,6.6,7.6,192,1.6,1099,9.2
2008,4 Year  June,Asian,12514,9900,79.1,9774,78.1,98.7,5685,45.4,57.4,4089,32.7,41.3,126,1,1.3,1821,14.6,700,5.6
2008,4 Year August,Asian,12514,10272,82.1,10132,81,98.6,5720,45.7,55.7,4412,35.3,43,140,1.1,1.4,1453,11.6,698,5.6
2008,5 Year  June,Asian,12480,10628,85.2,10465,83.9,98.5,5752,46.1,54.1,4713,37.8,44.3,163,1.3,1.5,690,5.5,990,7.9
2008,5 Year August,Asian,12480,10726,85.9,10560,84.6,98.5,5759,46.1,53.7,4801,38.5,44.8,166,1.3,1.5,600,4.8,982,7.9
2008,6 Year,Asian,12483,10847,86.9,10670,85.5,98.4,5761,46.2,53.1,4909,39.3,45.3,177,1.4,1.6,335,2.7,1076,8.6
2009,4 Year  June,Asian,13126,10160,77.4,10039,76.5,98.8,5849,44.6,57.6,4190,31.9,41.2,121,0.9,1.2,2034,15.5,835,6.4
2009,4 Year August,Asian,13126,10648,81.1,10505,80,98.7,5923,45.1,55.6,4582,34.9,43,143,1.1,1.3,1552,11.8,832,6.3
