sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
27007@1,-79.93287729,40.49456818,86,53,42,29,54,157,438,2,958,874,802,806,808,825,923,962,68,155,864,659,385,300,209,192
6026@1,-79.79749254,40.35669208,6,3,4,8,27,75,126,115,82,93,103,125,108,137,172,165,222,146,145,103,63,32,22,11
19201@1,-79.78699507,40.47153406,3,2,1,1,2,4,12,27,16,13,16,24,32,26,18,36,43,55,26,23,26,12,22,10
12009@1,-80.20426373,40.5423693,106,49,56,95,156,393,15,375,97,844,842,814,878,967,17,203,429,576,946,631,590,453,389,246
12004@1,-79.97793564,40.35287447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,849.5,837.5,862,871,890.5,938.5,-1,-1,-1,-1,-1,-1
12004@2,-79.97798888,40.3527621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,418.5,387.5,406.5,410,434,463,-1,-1,-1,-1,-1,-1
38706@1,-80.05529119,40.62931844,21,10,12,1,28,46,113,296,438,473,443,563,580,539,639,646,727,695,603,420,308,235,198,42
5484@1,-80.00279415,40.43160476,118,82,58,43,65,217,488,784,923,600,556,576,555,610,645,780,21,144,777,459,376,356,271,233
27581@1,-80.02226113,40.38343521,58,28,15,28,67,164,601,810,834,817,761,769,974,998,43,213,375,424,166,845,621,425,261,192
5731@1,-80.00624627,40.57989477,39,23,24,32,66,254,584,933,723,570,539,555,595,612,707,806,898,970,697,444,334,233,125,107
5675@1,-80.14992637,40.53068106,1,1,-1,5,9,12,28,41,35,32,24,20,22,25,40,51,28,37,19,20,25,8,17,13
27813@1,-79.80148892,40.40920579,42,28,11,22,63,186,444,633,513,410,386,442,489,503,527,711,921,909,843,812,759,550,251,111
15034@1,-79.91559055,40.54878219,20,10,5,1,20,74,228,499,423,239,180,184,207,185,264,382,410,464,339,224,135,79,68,67
27719@1,-79.9619749,40.30102159,55,21,6,12,36,82,251,396,484,473,373,515,503,455,442,608,685,678,596,471,390,328,157,135
27582@1,-80.01690025,40.40152195,94,62,83,69,164,481,565,632,399,180,913,951,980,48,189,348,635,632,324,823,796,596,404,245
27798@1,-79.81181453,40.46078766,108,76,32,63,68,276,630,825,781,586,581,642,683,757,795,973,3,978,808,620,537,441,298,215
21483@1,-80.13412693,40.4201609,9,2,2,3,6,8,52,100,108,82,82,78,89,110,92,94,178,200,148,97,56,42,28,11
5519@1,-80.22055602,40.41663658,2,2,-1,2,7,24,81,136,130,92,98,126,155,127,127,173,125,211,168,172,125,51,42,24
27563@1,-79.99790912,40.41594627,27,11,15,18,27,37,46,68,119,137,138,187,256,285,297,215,210,187,185,177,157,179,101,84
27723@1,-79.90200197,40.32220688,94,64,47,45,110,304,490,508,434,422,463,440,445,458,555,643,649,561,459,358,281,226,162,138
5992@1,-79.90900262,40.45032925,54,13,12,25,29,121,366,664,651,505,358,342,371,407,534,601,692,685,545,329,281,234,146,88
27740@1,-79.89130854,40.34756515,22,7,9,15,35,114,223,297,222,242,227,222,239,216,284,403,406,339,195,114,139,106,79,55
6078@1,-79.98184813,40.28824495,25,14,8,9,17,51,136,185,145,108,129,137,126,119,136,206,252,248,194,164,160,115,111,32
51@2,-80.226525,40.43966952,146,79,69,82,96,260,566,619,559,538,577,554,664,707,917,163,331,262,900,685,588,463,303,230
5973@1,-79.78292949,40.47349497,5,16,6,5,15,24,64,128,95,65,69,67,95,100,110,160,194,163,100,85,69,29,27,25
11305@2,-79.95483566,40.57242246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,323.5,324.5,334.5,368,395.5,419.5,-1,-1,-1,-1,-1,-1
11305@1,-79.95473384,40.57238222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,645,706.5,817.5,426.5,442,-1,-1,-1,-1,-1,-1
10557@1,-79.99648754,40.35834486,34,30,43,54,237,771,242,97,984,33,96,174,193,214,378,412,459,253,51,925,750,445,248,90
31986@1,-79.72478327,40.426479,53,17,15,13,49,223,601,835,804,608,600,591,674,715,802,79,214,137,839,554,407,218,179,125
10591@1,-80.02170172,40.5720387,13,5,7,10,26,66,182,243,218,199,187,185,193,197,232,255,286,273,225,138,108,54,46,32
27556@1,-79.99192045,40.42210681,23.75,10.75,10,16,24.75,97.75,327,357,283,369,363.25,393.5,435,449.5,558.75,390.25,485.25,435.25,516.75,341.5,220.25,141.75,98,54.75
27528@1,-79.97066578,40.50390869,22,17,8,5,8,51,192,422,310,204,194,243,188,233,296,387,451,459,343,249,225,102,69,46
5953@1,-79.84690132,40.47713302,90,61,46,55,113,494,216,394,108,708,680,717,750,785,28,255,419,320,934,666,585,363,278,193
5682@1,-80.13574926,40.6091077,28,14,17,10,37,164,408,596,442,273,252,237,251,329,318,447,561,649,399,297,238,125,72,42
21648@1,-80.0818109,40.40839706,48,27,43,54,65,70,91,97,124,140,167,200,135,167,178,248,264,243,167,135,121,113,38,43
5703@1,-80.03492562,40.52359281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,649.5,666,637,282.5,357.5,432,-1,-1,-1,-1,-1,-1
10481@1,-79.91199793,40.28912636,67,41,47,83,211,771,267,419,76,862,778,815,879,802,844,975,984,50,791,575,484,398,273,177
27758@1,-79.82696104,40.2610784,10,17,5,8,13,60,88,98,100,99,97,112,139,116,127,154,219,185,175,126,111,76,56,33
5948@2,-79.90794063,40.47879269,83,41,36,68,167,582,362,772,746,233,986,36,924,949,71,179,232,246,887,634,449,393,295,175
6040@1,-79.8090795,40.28077386,15,13,11,4,18,35,93,70,87,89,99,111,104,117,108,145,140,164,142,142,104,63,53,39
19075@1,-79.9076923,40.36335097,147,80,41,46,112,331,823,938,751,580,586,650,734,718,819,930,70,156,926,695,590,550,300,222
5536@1,-80.16625494,40.41596603,-1,1,2,2,1,3,15,20,14,8,16,18,34,42,33,53,24,21,12,12,7,5,4,2
5679@1,-80.1388488,40.59146682,1,-1,-1,-1,2,3,5,12,6,4,6,4,7,10,15,9,18,12,6,9,2,4,4,2
5910@1,-79.83195181,40.61729694,8,7,12,25,54,198,290,198,177,216,244,256,246,299,365,388,392,352,271,200,109,66,48,13
