CT,EPAD,EPAN,EWAD,EWAN,EMAD,EMAN
465800,1929,295,1053,355,876,105
468700,884,163,481,220,403,50
468800,1104,194,615,251,489,62
468900,1964,343,1128,429,836,108
469000,2782,406,1513,524,1269,138
470300,2264,421,1293,578,971,128
470400,1758,296,978,430,780,78
470501,1434,186,795,259,639,55
470502,1767,260,977,378,790,69
470600,1520,270,834,369,686,79
471000,574,112,311,156,263,30
472100,1246,215,698,289,548,62
472200,1128,169,585,220,543,56
472300,965,155,536,206,429,46
472400,1116,166,606,227,510,50
473100,2791,429,1500,546,1291,154
473200,1831,272,1042,340,789,97
473300,3433,527,1907,711,1526,166
473401,2135,315,1113,383,1022,121
473402,1913,269,1025,371,888,82
473500,2173,310,1136,404,1037,107
473601,2266,357,1219,469,1047,122
473602,2689,460,1486,620,1203,149
474101,2435,306,1263,398,1172,105
474102,2228,297,1154,392,1074,100
474201,1556,212,813,287,743,68
474202,2943,462,1528,581,1415,170
474203,2868,403,1470,502,1398,152
475101,2766,485,1573,674,1193,142
475102,1039,157,528,188,511,62
475200,2976,464,1573,599,1403,163
475301,2674,415,1437,551,1237,131
475303,2519,411,1333,525,1186,144
475304,3119,514,1673,706,1446,159
475401,2411,409,1303,528,1108,139
475402,1888,288,1013,391,875,90
476100,2622,484,1471,640,1151,155
476200,1861,318,1000,425,861,101
477100,2167,371,1189,497,978,120
477200,2707,457,1516,612,1191,147
477300,3665,466,1912,589,1753,161
478100,2328,431,1266,550,1062,146
478200,3310,508,1801,658,1509,163
479000,1179,211,655,302,524,58
480101,2949,485,1585,612,1364,165
480102,1836,308,999,419,837,96
480200,2053,281,1083,372,970,91
480300,2204,341,1201,468,1003,104
480400,2957,487,1607,685,1350,138
481000,2078,342,1140,433,938,102
482500,1156,194,621,252,535,64
483800,1734,288,1015,353,719,91
484300,1893,313,1026,371,867,113
484500,3482,616,1910,799,1572,207
484600,1181,215,675,277,506,73
485000,658,103,377,143,281,29
486700,1331,171,806,210,525,50
486800,981,128,547,139,434,50
486900,834,101,479,136,355,30
487000,976,203,545,258,431,68
488100,1817,338,949,343,868,130
488200,2282,316,1311,410,971,94
488300,1468,223,814,285,654,67
488400,2939,455,1696,599,1243,132
488500,1629,286,877,395,752,84
488600,2964,491,1681,657,1283,140
489001,2698,434,1493,589,1205,134
489002,2300,345,1204,474,1096,107
490002,2761,421,1498,543,1263,140
490003,2165,301,1121,396,1044,98
490004,3089,476,1634,635,1455,152
491101,4142,602,2207,851,1935,173
491200,1178,196,639,266,539,60
492700,1092,180,640,241,452,47
492800,1526,204,917,262,609,52
492900,1139,202,663,236,476,73
494000,822,154,462,196,360,49
495000,988,180,537,243,451,54
496101,1870,269,1014,378,856,77
496102,2624,383,1403,499,1221,131
496200,3294,530,1785,731,1509,158
497000,531,75,290,101,241,22
498000,1492,273,814,364,678,88
499300,906,137,513,178,393,42
499400,1587,303,893,376,694,102
500300,2026,350,1144,482,882,102
50100,982,132,584,168,398,41
501000,794,152,434,197,360,51
503002,3541,631,1991,847,1550,197
504100,2669,451,1516,601,1153,130
50600,1021,143,590,202,431,37
507000,1173,224,654,275,519,73
508000,1115,200,660,248,455,56
50900,832,97,525,125,307,27
509400,2921,490,1714,684,1207,118
51000,702,118,426,145,276,39
510000,1171,198,654,227,517,69
51100,74,10,47,15,27,2
512000,1180,203,654,247,526,70
512800,746,107,419,124,327,33
512900,679,57,391,58,288,20
513800,1335,164,786,205,549,44
514000,1171,145,694,201,477,34
515100,1439,203,842,244,597,67
515200,1129,212,673,291,456,60
515300,1040,188,644,266,396,46
515401,1260,201,761,270,499,64
516100,812,161,443,227,369,46
516200,988,151,541,188,447,56
517000,979,160,556,206,423,53
518001,2244,386,1293,521,951,123
519000,1875,288,1008,383,867,94
520001,1821,331,1011,437,810,109
520002,1819,300,1033,398,786,87
521100,2715,401,1475,521,1240,132
521200,2269,354,1239,455,1030,119
521301,2187,355,1252,492,935,96
521302,2287,375,1267,500,1020,110
521401,1540,249,862,324,678,86
521402,2428,340,1272,434,1156,117
521500,2483,395,1334,527,1149,126
522000,1869,327,1022,372,847,108
523100,2231,235,1329,323,902,59
523200,2298,314,1324,419,974,89
523300,2252,310,1249,423,1003,92
523400,2783,440,1623,606,1160,126
523501,2517,353,1400,447,1117,116
523502,807,155,468,195,339,54
523600,2732,439,1525,616,1207,126
523701,2495,414,1382,512,1113,146
523702,3025,525,1716,709,1309,155
523800,2820,449,1557,592,1263,146
524000,1525,260,822,329,703,76
525100,1209,216,680,279,529,75
525200,1224,210,735,299,489,57
525300,1333,253,745,355,588,73
526101,2307,432,1242,557,1065,140
526102,1183,185,607,265,576,52
526201,2263,346,1178,477,1085,105
526202,2771,439,1498,594,1273,134
526301,2421,366,1278,477,1143,123
526302,2658,401,1418,512,1240,141
550900,863,150,475,172,388,54
551200,1777,289,1041,375,736,90
551300,1431,235,798,303,633,75
551900,778,189,452,206,326,74
552000,1626,223,938,309,688,57
552100,915,194,541,196,374,69
552200,643,113,350,125,293,43
552300,1301,168,732,194,569,61
552400,1782,296,983,400,799,87
560400,569,92,334,112,235,35
560500,1127,199,635,268,492,64
560600,476,103,276,122,200,38
561000,635,98,370,102,265,37
561100,450,65,263,66,187,27
561200,591,72,339,98,252,19
561400,2227,273,1347,357,880,78
561500,1400,229,822,304,578,70
561600,1197,183,669,234,528,60
561700,424,64,236,78,188,20
561900,1159,122,708,165,451,34
562000,1020,221,543,256,477,89
562300,1719,330,1000,406,719,112
562400,1520,224,848,282,672,68
562500,1660,228,939,251,721,82
562600,1464,221,796,255,668,80
562700,729,103,397,114,332,39
562800,781,144,415,195,366,44
562900,1115,192,633,245,482,56
563000,1469,216,849,281,620,64
563100,2032,296,1066,384,966,100
563200,1006,212,541,211,465,87
563300,850,105,438,134,412,37
563800,2013,388,1089,490,924,140
563900,2179,397,1233,560,946,113
564000,1757,256,945,310,812,89
564100,595,79,311,93,284,28
564200,1080,201,591,257,489,71
564400,3299,591,1826,776,1473,186
564500,743,110,401,151,342,29
60300,1426,240,727,309,699,76
60500,676,121,370,148,306,44
70300,945,133,491,158,454,54
70500,1117,153,580,207,537,49
70600,1031,176,592,213,439,69
70800,895,128,497,157,398,49
70900,1910,237,1021,307,889,81
80200,838,161,469,231,369,43
80400,605,80,310,107,295,25
80600,1043,175,543,205,500,72
80700,698,99,379,129,319,33
80900,914,139,484,175,430,47
90100,924,177,494,194,430,74
90200,1404,266,808,354,596,79
90300,811,155,441,203,370,48
980000,0,0,0,0,0,0
980100,5,0,4,0,0,0
980700,22,3,10,0,12,0
